/Users/engun/CLionProjects/PythonCppHomogeneousContainers/cmake-build-release/PythonCppHomogeneousContainers
Hello, World!
RSS(Mb): was:      5.230 now:    182.867 diff:   +177.637 Peak was:      5.230 now:   8191.242 diff:  +8186.012 test_perf_py_tuple_string_to_vector
====RSS(Mb): was:      5.230 now:    182.895 diff:   +177.664 Peak was:      5.230 now:   8191.242 diff:  +8186.012 ==== test_performance.cpp
Number of tests: 200
REGEX_HEAD: "HEAD:\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)"
REGEX_TEST: "TEST:\s+(\d+)\s+(\d+)\s+([0-9+-.]+)\s+([0-9+-.]+)\s+(\d+)\s+([0-9+-.]+)\s+(\S+)"
REGEX_TAIL: "TAIL:\s+(.+)"
HEAD: Fail   Scale  Repeat         Time(s)     Std.Dev.(s)         Min.(s)         Max.(s)     Count      Rate(/s) Name
TEST:    0     512       1     0.000044794             N/A             N/A             N/A         1       22324.2 test_py_tuple_string_to_vector<std::string[128]>():[512]
TEST:    0    1024       1     0.000089213             N/A             N/A             N/A         1       11209.1 test_py_tuple_string_to_vector<std::string[128]>():[1024]
TEST:    0    2048       1     0.000218587             N/A             N/A             N/A         1        4574.8 test_py_tuple_string_to_vector<std::string[128]>():[2048]
TEST:    0    4096       1     0.000430155             N/A             N/A             N/A         1        2324.7 test_py_tuple_string_to_vector<std::string[128]>():[4096]
TEST:    0    8192       1     0.000945427             N/A             N/A             N/A         1        1057.7 test_py_tuple_string_to_vector<std::string[128]>():[8192]
TEST:    0   16384       1     0.001588772             N/A             N/A             N/A         1         629.4 test_py_tuple_string_to_vector<std::string[128]>():[16384]
TEST:    0   32768       1     0.003044777             N/A             N/A             N/A         1         328.4 test_py_tuple_string_to_vector<std::string[128]>():[32768]
TEST:    0   65536       1     0.006027879             N/A             N/A             N/A         1         165.9 test_py_tuple_string_to_vector<std::string[128]>():[65536]
TEST:    0  131072       1     0.012293718             N/A             N/A             N/A         1          81.3 test_py_tuple_string_to_vector<std::string[128]>():[131072]
TEST:    0  262144       1     0.029525798             N/A             N/A             N/A         1          33.9 test_py_tuple_string_to_vector<std::string[128]>():[262144]
TEST:    0  524288       1     0.063041499             N/A             N/A             N/A         1          15.9 test_py_tuple_string_to_vector<std::string[128]>():[524288]
TEST:    0 1048576       1     0.132063486             N/A             N/A             N/A         1           7.6 test_py_tuple_string_to_vector<std::string[128]>():[1048576]
TEST:    0       2       1     0.000001092             N/A             N/A             N/A         1      915331.8 test_py_tuple_string_to_vector<std::string[256]>():[2]
TEST:    0       4       1     0.000001058             N/A             N/A             N/A         1      945626.5 test_py_tuple_string_to_vector<std::string[256]>():[4]
TEST:    0       8       1     0.000001676             N/A             N/A             N/A         1      596836.8 test_py_tuple_string_to_vector<std::string[256]>():[8]
TEST:    0      16       1     0.000002514             N/A             N/A             N/A         1      397693.4 test_py_tuple_string_to_vector<std::string[256]>():[16]
TEST:    0      32       1     0.000004117             N/A             N/A             N/A         1      242865.8 test_py_tuple_string_to_vector<std::string[256]>():[32]
TEST:    0      64       1     0.000008003             N/A             N/A             N/A         1      124960.9 test_py_tuple_string_to_vector<std::string[256]>():[64]
TEST:    0     128       1     0.000014238             N/A             N/A             N/A         1       70232.1 test_py_tuple_string_to_vector<std::string[256]>():[128]
TEST:    0     256       1     0.000025960             N/A             N/A             N/A         1       38520.1 test_py_tuple_string_to_vector<std::string[256]>():[256]
TEST:    0     512       1     0.000054175             N/A             N/A             N/A         1       18458.9 test_py_tuple_string_to_vector<std::string[256]>():[512]
